6.71,1,3500,3519.16,16.68
6.76,1,3500,3518.85,16.68
6.81,1,3500,3518.66,16.64
6.86,1,3500,3518.47,16.6
6.91,1,3500,3518,16.65
6.96,1,3500,3517.65,16.67
7.01,1,3500,3517.32,16.68
7.06,1,3500,3517.15,16.64
7.11,1,3500,3517.04,16.59
7.16,1,3500,3516.69,16.61
7.21,1,3500,3516.41,16.61
7.26,1,3500,3516.29,16.57
7.31,1,3500,3516.22,16.51
7.36,1,3500,3515.86,16.53
7.41,1,3500,3515.52,16.56
7.46,1,3500,3515.24,16.56
7.51,1,3500,3514.93,16.58
7.56,1,3500,3514.68,16.58
7.61,1,3500,3514.65,16.51
7.66,1,3500,3514.87,16.38
7.71,1,3500,3514.62,16.37
7.76,1,3500,3514.69,16.28
7.81,1,3500,3514.61,16.23
7.86,1,3500,3514.68,16.14
7.91,1,3500,3514.49,16.12
7.96,1,3500,3514.12,16.16
8.01,1,3500,3514.31,16.03
8.06,1,3500,3514.15,16.01
8.11,1,3500,3514.29,15.9
8.16,1,3500,3513.73,15.99
8.21,1,3500,3513.34,16.04
8.26,1,3500,3513.67,15.88
8.31,1,3500,3513.29,15.92
8.36,1,3500,3512.82,15.99
8.41,1,3500,3512.38,16.06
8.46,1,3500,3512.61,15.93
8.51,1,3500,3512.33,15.95
8.56,1,3500,3511.92,16.02
8.61,1,3500,3511.87,15.97
8.66,1,3500,3511.53,16.01
8.71,1,3500,3511.85,15.86
8.76,1,3500,3511.51,15.9
8.81,1,3500,3511.28,15.91
8.86,1,3500,3511.07,15.92
8.91,1,3500,3510.87,15.93
8.96,1,3500,3511.07,15.81
9.01,1,3500,3511.32,15.68
9.06,1,3500,3511.1,15.69
9.11,1,3500,3511.2,15.6
9.16,1,3500,3511.09,15.58
9.21,1,3500,3511.03,15.54
9.26,1,3500,3510.98,15.5
9.31,1,3500,3510.98,15.45
9.36,1,3500,3510.88,15.42
9.41,1,3500,3510.89,15.37
9.46,1,3500,3510.85,15.33
9.51,1,3500,3510.65,15.33
9.56,1,3500,3510.52,15.32
9.61,1,3500,3510.44,15.29
9.66,1,3500,3510.37,15.25
9.71,1,3500,3510.25,15.24
9.76,1,3500,3510.24,15.19
9.81,1,3500,3510.03,15.2
9.86,1,3500,3509.88,15.2
9.91,1,3500,3509.78,15.18
9.96,1,3500,3509.59,15.19
10.01,1,3500,3509.41,15.19
10.06,1,3500,3509.39,15.15
10.11,1,3500,3509.47,15.08
10.16,1,3500,3509.45,15.04
10.21,1,3500,3509.48,14.98
10.26,1,3500,3509.15,15.03
10.31,1,3500,3509.2,14.98
10.36,1,3500,3508.69,15.08
10.41,1,3500,3508.7,15.03
10.46,1,3500,3508.72,14.99
10.51,1,3500,3508.28,15.07
10.56,1,3500,3508.27,15.04
10.61,1,3500,3508.05,15.06
10.66,1,3500,3508.35,14.93
10.71,1,3500,3507.88,15.03
10.76,1,3500,3507.69,15.05
10.81,1,3500,3507.75,14.99
10.86,1,3500,3507.32,15.08
10.91,1,3500,3507.35,15.03
10.96,1,3500,3507.33,15
11.01,1,3500,3507.27,14.99
11.06,1,3500,3506.75,15.1
11.11,1,3500,3506.62,15.11
11.16,1,3500,3506.54,15.1
11.21,1,3500,3506.46,15.09
11.26,1,3500,3506.64,15.01
11.31,1,3500,3506.65,14.97
11.36,1,3500,3506.27,15.05
11.41,1,3500,3506.26,15.02
11.46,1,3500,3506.09,15.04
11.51,1,3500,3506.09,15.01
11.56,1,3500,3506.09,14.98
11.61,1,3500,3505.68,15.07
11.66,1,3500,3506.05,14.93
11.71,1,3500,3505.9,14.95
11.76,1,3500,3505.75,14.96
11.81,1,3500,3505.66,14.96
11.86,1,3500,3505.58,14.96
11.91,1,3500,3505.5,14.95
11.96,1,3500,3505.38,14.96
12.01,1,3500,3505.31,14.96
12.06,1,3500,3505.14,14.98
12.11,1,3500,3504.88,15.03
12.16,1,3500,3505.19,14.92
12.21,1,3500,3504.88,14.98
12.26,1,3500,3504.54,15.06
12.31,1,3500,3504.56,15.03
12.36,1,3500,3504.63,14.99
12.41,1,3500,3504.4,15.03
12.46,1,3500,3504.48,14.99
12.51,1,3500,3504.21,15.05
12.56,1,3500,3504.45,14.96
12.61,1,3500,3504.42,14.94
12.66,1,3500,3504.15,15
12.71,1,3500,3503.84,15.07
12.76,1,3500,3504.1,14.97
12.81,1,3500,3503.85,15.03
12.86,1,3500,3503.91,14.99
12.91,1,3500,3503.66,15.05
12.96,1,3500,3503.68,15.02
13.01,1,3500,3503.69,15
13.06,1,3500,3503.71,14.98
13.11,1,3500,3503.22,15.1
13.16,1,3500,3503.26,15.08
13.21,1,3500,3503.35,15.03
13.26,1,3500,3503.38,15.01
13.31,1,3500,3503.41,14.98
13.36,1,3500,3503.14,15.05
13.41,1,3500,3503.23,15
13.46,1,3500,3503.62,14.87
13.51,1,3500,3503.39,14.92
13.56,1,3500,3503.17,14.97
13.61,1,3500,3503.16,14.96
13.66,1,3500,3503.11,14.96
13.71,1,3500,3503.05,14.96
13.76,1,3500,3502.9,14.99
13.81,1,3500,3502.65,15.05
13.86,1,3500,3502.77,15
13.91,1,3500,3503.38,14.8
13.96,1,3500,3503.26,14.82
14.01,1,3500,3503.05,14.87
14.06,1,3500,3503.1,14.84
14.11,1,3500,3503.89,14.59
14.16,1,3500,3503.85,14.58
14.21,1,3500,3504.66,14.32
14.26,1,3500,3504.62,14.3
14.31,1,3500,3504.59,14.29
14.36,1,3500,3504.51,14.29
14.41,1,3500,3504.19,14.37
14.46,1,3500,3503.98,14.41
14.51,1,3500,3503.88,14.42
14.56,1,3500,3503.73,14.44
14.61,1,3500,3503.45,14.51
14.66,1,3500,3503.23,14.56
14.71,1,3500,3503.11,14.58
14.76,1,3500,3503.11,14.56
14.81,1,3500,3502.85,14.62
14.86,1,3500,3502.66,14.67
14.91,1,3500,3502.28,14.77
14.96,1,3500,3502.11,14.81
15.01,1,3500,3501.91,14.86
15.06,1,3500,3501.71,14.91
15.11,1,3500,3501.58,14.94
15.16,1,3500,3501.55,14.94
15.21,1,3500,3501.22,15.03
15.26,1,3500,3501.41,14.97
15.31,1,3500,3501.29,15
15.36,1,3500,3501.07,15.05
15.41,1,3500,3501.47,14.93
15.46,1,3500,3501.15,15.02
15.51,1,3500,3501.34,14.96
15.56,1,3500,3501.22,14.98
15.61,1,3500,3501.16,15
15.66,1,3500,3501.2,14.98
15.71,1,3500,3501.19,14.98
15.76,1,3500,3500.88,15.06
15.81,1,3500,3501.09,15
15.86,1,3500,3501.19,14.96
15.91,1,3500,3501.63,14.82
15.96,1,3500,3501.74,14.78
16.01,1,3500,3501.76,14.77
16.06,1,3500,3501.57,14.82
16.11,1,3500,3501.49,14.83
16.16,1,3500,3501.37,14.86
16.21,1,3500,3501.4,14.84
16.26,1,3500,3501.28,14.87
16.31,1,3500,3501.41,14.83
16.36,1,3500,3501.34,14.84
16.41,1,3500,3501.38,14.82
16.46,1,3500,3501.51,14.78
16.51,1,3500,3501.58,14.75
16.56,1,3500,3501.15,14.87
16.61,1,3500,3501.15,14.87
16.66,1,3500,3500.99,14.91
16.71,1,3500,3501.04,14.89
16.76,1,3500,3500.94,14.91
16.81,1,3500,3500.64,15
16.86,1,3500,3500.76,14.96
16.91,1,3500,3500.92,14.91
16.96,1,3500,3500.92,14.9
17.01,1,3500,3500.93,14.89
17.06,1,3500,3500.63,14.98
17.11,1,3500,3500.55,15
17.16,1,3500,3500.27,15.08
17.21,1,3500,3500.51,15.01
17.26,1,3500,3500.73,14.94
17.31,1,3500,3500.45,15.02
17.36,1,3500,3500.87,14.89
17.41,1,3500,3500.68,14.94
17.46,1,3500,3500.55,14.98
17.51,1,3500,3500.52,14.99
17.56,1,3500,3500.54,14.98
17.61,1,3500,3500.22,15.07
17.66,1,3500,3500.56,14.97
17.71,1,3500,3500.48,14.99
17.76,1,3500,3499.95,15.14
17.81,1,3500,3500.21,15.07
17.86,1,3500,3500.5,14.98
17.91,1,3500,3500.37,15.02
17.96,1,3500,3500.55,14.96
18.01,1,3500,3500.57,14.95
18.06,1,3500,3500.65,14.93
18.11,1,3500,3500.66,14.92
18.16,1,3500,3500.48,14.97
18.21,1,3500,3500.36,15
18.26,1,3500,3500.79,14.87
18.31,1,3500,3500.85,14.85
18.36,1,3500,3500.91,14.83
18.41,1,3500,3500.81,14.85
18.46,1,3500,3500.82,14.85
18.51,1,3500,3500.73,14.87
18.56,1,3500,3500.89,14.82
18.61,1,3500,3500.8,14.84
18.66,1,3500,3500.76,14.85
18.71,1,3500,3500.77,14.84
18.76,1,3500,3500.93,14.79
18.81,1,3500,3500.94,14.78
18.86,1,3500,3500.84,14.81
18.91,1,3500,3500.85,14.8
18.96,1,3500,3500.75,14.82
19.01,1,3500,3500.62,14.86
19.06,1,3500,3500.69,14.84
19.11,1,3500,3500.6,14.86
19.16,1,3500,3500.32,14.94
19.21,1,3500,3500.21,14.97
19.26,1,3500,3500.1,15.01
19.31,1,3500,3500.39,14.92
19.36,1,3500,3500.27,14.95
19.41,1,3500,3500.21,14.97
19.46,1,3500,3499.9,15.06
19.51,1,3500,3500.1,15
19.56,1,3500,3499.95,15.04
19.61,1,3500,3500.25,14.95
19.66,1,3500,3498.94,15.35
19.71,1,3500,3499.19,15.28
19.76,1,3500,3499.78,15.1
19.81,1,3500,3500.14,15
19.86,1,3500,3500.28,14.95
19.91,1,3500,3500.22,14.97
19.96,1,3500,3500.36,14.93
20.01,1,3500,3500.39,14.92
20.06,1,3500,3500.57,14.86
20.11,1,3500,3500.49,14.88
20.16,1,3500,3500.67,14.83
20.21,1,3500,3500.84,14.77
20.26,1,3500,3500.99,14.72
20.31,1,3500,3501.04,14.7
20.36,1,3500,3501.09,14.68
